Count of work,218,821,93,cluster
2,226,819,91,c1
1,227,820,90,c3
26,202,795,64,c3
1,227,820,63,c3
18,210,803,45,c3
0,228,821,45,c1
1,227,820,44,c1
1,227,820,43,c1
1,227,820,42,c1
218,10,603,-176,c1
1,227,820,-177,c1
1,227,820,-178,c1
1,227,820,-179,c1
1,227,820,-180,c1
54,174,767,-234,c1
56,172,765,-290,c1
1,227,820,-291,c1
1,227,820,-292,c1
1,227,820,-293,c1
1,227,820,-294,c1
33,195,788,-327,c1
50,178,771,-377,c1
7,221,814,-384,c1
7,221,814,-391,c1
40,188,781,-431,c1
1,227,820,-432,c1
2,226,819,-434,c1
2,226,819,-436,c1
6,222,815,-442,c1
1,227,820,-443,c1
2,226,819,-445,c1
78,150,743,-523,c1
2,226,819,-525,c1
1,227,820,-526,c1
0,228,821,-526,c1
1,227,820,-527,c1
20,208,801,-547,c1
1,227,820,-548,c1
1,227,820,-549,c1
1,227,820,-550,c1
42,186,779,-592,c1
61,167,760,-653,c1
2,226,819,-655,c1
3,225,818,-658,c1
1,227,820,-659,c1
17,211,804,-676,c1
4,224,817,-680,c1
4,224,817,-684,c1
288,-60,533,-972,c1
2,226,819,-974,c1
62,166,759,-1036,c1
1,227,820,-1037,c1
1,227,820,-1038,c1
1,227,820,-1039,c1
72,156,749,-1111,c1
1,227,820,-1112,c1
3,225,818,-1115,c1
1,227,820,-1116,c1
1,227,820,-1117,c1
1,227,820,-1118,c1
11,217,810,-1129,c1
1,227,820,-1130,c1
2,226,819,-1132,c1
3,225,818,-1135,c1
3,225,818,-1138,c1
1,227,820,-1139,c1
2,226,819,-1141,c1
1,227,820,-1142,c1
3,225,818,-1145,c1
1,227,820,-1146,c1
1,227,820,-1147,c1
36,192,785,-1183,c1
2,226,819,-1185,c1
1,227,820,-1186,c1
3,225,818,-1189,c1
2,226,819,-1191,c1
7,221,814,-1198,c1
10,218,811,-1208,c1
1,227,820,-1209,c1
1,227,820,-1210,c1
198,30,623,-1408,c1
291,-63,530,-1699,c1
1,227,820,-1700,c1
6,222,815,-1706,c1
6,222,815,-1712,c1
1,227,820,-1713,c1
12,216,809,-1725,c1
1,227,820,-1726,c1
428,-200,393,-2154,c1
16,212,805,-2170,c1
5,223,816,-2175,c1
4,224,817,-2179,c1
2,226,819,-2181,c1
2,226,819,-2183,c1
4,224,817,-2187,c1
1,227,820,-2188,c1
3,225,818,-2191,c1
6,222,815,-2197,c1
7,221,814,-2204,c1
1,227,820,-2205,c1
1,227,820,-2206,c1
16,212,805,-2222,c1
1,227,820,-2223,c1
4,224,817,-2227,c1
1,227,820,-2228,c1
45,183,776,-2273,c1
10,218,811,-2283,c1
26,202,795,-2309,c1
60,168,761,-2369,c1
1,227,820,-2370,c1
6,222,815,-2376,c1
3,225,818,-2379,c1
1,227,820,-2380,c1
2,226,819,-2382,c1
20,208,801,-2402,c1
4,224,817,-2406,c1
1,227,820,-2407,c1
5,223,816,-2412,c1
1,227,820,-2413,c1
1,227,820,-2414,c1
2,226,819,-2416,c1
0,228,821,-2416,c1
5,223,816,-2421,c1
1,227,820,-2422,c1
15,213,806,-2437,c1
0,228,821,-2437,c1
2,226,819,-2439,c1
1,227,820,-2440,c1
1,227,820,-2441,c1
1,227,820,-2442,c1
0,228,821,-2442,c1
1,227,820,-2443,c1
3,225,818,-2446,c1
3,225,818,-2449,c1
2,226,819,-2451,c1
1,227,820,-2452,c1
1,227,820,-2453,c1
24,204,797,-2477,c1
1,227,820,-2478,c1
3,225,818,-2481,c1
2,226,819,-2483,c1
48,180,773,-2531,c1
2,226,819,-2533,c1
6,222,815,-2539,c1
1,227,820,-2540,c1
2,226,819,-2542,c1
16,212,805,-2558,c1
13,215,808,-2571,c1
109,119,712,-2680,c1
10,218,811,-2690,c1
1,227,820,-2691,c1
1,227,820,-2692,c1
16,212,805,-2708,c1
1,227,820,-2709,c1
1,227,820,-2710,c1
51,177,770,-2761,c1
1,227,820,-2762,c1
75,153,746,-2837,c1
1,227,820,-2838,c1
69,159,752,-2907,c1
79,149,742,-2986,c1
15,213,806,-3001,c1
26,202,795,-3027,c1
6,222,815,-3033,c1
15,213,806,-3048,c1
1,227,820,-3049,c1
17,211,804,-3066,c1
31,197,790,-3097,c1
83,145,738,-3180,c1
35,193,786,-3215,c1
2,226,819,-3217,c1
3,225,818,-3220,c1
0,228,821,-3220,c1
2,226,819,-3222,c1
4,224,817,-3226,c1
1,227,820,-3227,c1
1,227,820,-3228,c2
11,217,810,-3239,c1
30,198,791,-3269,c1
2,226,819,-3271,c1
1,227,820,-3272,c1
4,224,817,-3276,c1
2,226,819,-3278,c1
5,223,816,-3283,c1
3,225,818,-3286,c1
5050,-4822,-4229,-8336,c1
4,224,817,-8340,c1
3,225,818,-8343,c1
1,227,820,-8344,c1
1,227,820,-8345,c1
0,228,821,-8345,c1
19,209,802,-8364,c1
3,225,818,-8367,c1
8,220,813,-8375,c1
2,226,819,-8377,c1
5,223,816,-8382,c1
2,226,819,-8384,c1
1,227,820,-8385,c1
3,225,818,-8388,c1
1,227,820,-8389,c1
14,214,807,-8403,c1
1,227,820,-8404,c1
76,152,745,-8480,c1
1,227,820,-8481,c1
8,220,813,-8489,c1
1,227,820,-8490,c1
1,227,820,-8491,c1
7,221,814,-8498,c1
91,137,730,-8589,c1
9,219,812,-8598,c1
1,227,820,-8599,c1
19,209,802,-8618,c1
3,225,818,-8621,c1
6,222,815,-8627,c1
2,226,819,-8629,c1
3,225,818,-8632,c1
4,224,817,-8636,c1
19,209,802,-8655,c1
2,226,819,-8657,c1
1,227,820,-8658,c1
1,227,820,-8659,c1
1,227,820,-8660,c1
1,227,820,-8661,c1
1,227,820,-8662,c1
5,223,816,-8667,c1
37,191,784,-8704,c1
1,227,820,-8705,c1
1,227,820,-8706,c1
1,227,820,-8707,c1
33,195,788,-8740,c1
12,216,809,-8752,c1
28,200,793,-8780,c1
36,192,785,-8816,c1
1,227,820,-8817,c1
2,226,819,-8819,c1
1,227,820,-8820,c1
2,226,819,-8822,c1
1,227,820,-8823,c1
2,226,819,-8825,c1
3,225,818,-8828,c1
3,225,818,-8831,c1
2,226,819,-8833,c1
1,227,820,-8834,c1
53,175,768,-8887,c1
0,228,821,-8887,c1
1,227,820,-8888,c1
1,227,820,-8889,c1
1,227,820,-8890,c1
4,224,817,-8894,c1
1,227,820,-8895,c1
1,227,820,-8896,c1
23,205,798,-8919,c1
70,158,751,-8989,c1
2,226,819,-8991,c1
1,227,820,-8992,c1
11,217,810,-9003,c1
1,227,820,-9004,c1
1,227,820,-9005,c1
11,217,810,-9016,c1
8,220,813,-9024,c1
4,224,817,-9028,c1
1,227,820,-9029,c1
1,227,820,-9030,c1
12,216,809,-9042,c1
36,192,785,-9078,c1
3,225,818,-9081,c1
1,227,820,-9082,c1
1,227,820,-9083,c1
10,218,811,-9093,c1
3,225,818,-9096,c1
2,226,819,-9098,c1
1,227,820,-9099,c1
8,220,813,-9107,c1
2,226,819,-9109,c1
1,227,820,-9110,c1
1,227,820,-9111,c1
1,227,820,-9112,c1
1,227,820,-9113,c1
2,226,819,-9115,c1
100,128,721,-9215,c1
65,163,756,-9280,c1
1,227,820,-9281,c1
1,227,820,-9282,c1
1,227,820,-9283,c1
18,210,803,-9301,c1
20,208,801,-9321,c1
4,224,817,-9325,c1
1,227,820,-9326,c1
2,226,819,-9328,c1
2,226,819,-9330,c1
1,227,820,-9331,c1
3,225,818,-9334,c1
1,227,820,-9335,c1
36,192,785,-9371,c1
1,227,820,-9372,c1
1,227,820,-9373,c1
2,226,819,-9375,c1
1,227,820,-9376,c1
26,202,795,-9402,c1
1,227,820,-9403,c1
1,227,820,-9404,c1
5,223,816,-9409,c1
2,226,819,-9411,c1
2,226,819,-9413,c1
1,227,820,-9414,c1
0,228,821,-9414,c1
0,228,821,-9414,c1
138,90,683,-9552,c1
1,227,820,-9553,c1
263,-35,558,-9816,c1
11,217,810,-9827,c1
5,223,816,-9832,c1
10,218,811,-9842,c1
1,227,820,-9843,c1
13,215,808,-9856,c1
1,227,820,-9857,c1
1,227,820,-9858,c1
1,227,820,-9859,c1
2,226,819,-9861,c1
10,218,811,-9871,c1
1,227,820,-9872,c1
2,226,819,-9874,c1
1,227,820,-9875,c1
1,227,820,-9876,c1
5,223,816,-9881,c1
1,227,820,-9882,c1
1,227,820,-9883,c1
6,222,815,-9889,c1
48,180,773,-9937,c1
4,224,817,-9941,c1
1,227,820,-9942,c1
6,222,815,-9948,c1
2,226,819,-9950,c1
27,201,794,-9977,c1
165,63,656,-10142,c1
2,226,819,-10144,c1
11,217,810,-10155,c1
2,226,819,-10157,c1
1,227,820,-10158,c1
1,227,820,-10159,c1
4,224,817,-10163,c1
3,225,818,-10166,c1
4,224,817,-10170,c1
14,214,807,-10184,c1
17,211,804,-10201,c1
22,206,799,-10223,c1
3,225,818,-10226,c1
1,227,820,-10227,c1
93,135,728,-10320,c1
4,224,817,-10324,c1
2,226,819,-10326,c1
25,203,796,-10351,c1
1,227,820,-10352,c1
0,228,821,-10352,c1
1,227,820,-10353,c1
7,221,814,-10360,c1
1,227,820,-10361,c1
0,228,821,-10361,c1
5,223,816,-10366,c1
220,8,601,-10586,c1
28,200,793,-10614,c1
6,222,815,-10620,c1
1,227,820,-10621,c1
3,225,818,-10624,c1
1,227,820,-10625,c1
1,227,820,-10626,c1
13,215,808,-10639,c1
2,226,819,-10641,c1
1,227,820,-10642,c1
1,227,820,-10643,c1
2,226,819,-10645,c1
1,227,820,-10646,c1
9,219,812,-10655,c1
4,224,817,-10659,c1
1,227,820,-10660,c1
0,228,821,-10660,c1
3,225,818,-10663,c1
18,210,803,-10681,c1
3,225,818,-10684,c1
27,201,794,-10711,c1
58,170,763,-10769,c1
51,177,770,-10820,c1
10,218,811,-10830,c1
1,227,820,-10831,c1
2,226,819,-10833,c1
2,226,819,-10835,c1
2,226,819,-10837,c1
1,227,820,-10838,c1
1,227,820,-10839,c1
20,208,801,-10859,c1
2,226,819,-10861,c1
2,226,819,-10863,c1
1,227,820,-10864,c1
2,226,819,-10866,c1
28,200,793,-10894,c1
1,227,820,-10895,c1
17,211,804,-10912,c1
55,173,766,-10967,c1
7,221,814,-10974,c1
2,226,819,-10976,c1
2,226,819,-10978,c1
13,215,808,-10991,c1
14,214,807,-11005,c1
1,227,820,-11006,c1
2,226,819,-11008,c1
8,220,813,-11016,c1
23,205,798,-11039,c1
1,227,820,-11040,c1
78,150,743,-11118,c1
1,227,820,-11119,c1
1,227,820,-11120,c1
1,227,820,-11121,c1
1,227,820,-11122,c1
1,227,820,-11123,c1
1,227,820,-11124,c1
2,226,819,-11126,c1
0,228,821,-11126,c1
1,227,820,-11127,c1
1,227,820,-11128,c1
10,218,811,-11138,c2
102,126,719,-11240,c1
2,226,819,-11242,c1
1,227,820,-11243,c1
4,224,817,-11247,c1
20,208,801,-11267,c1
2,226,819,-11269,c1
3,225,818,-11272,c1
4,224,817,-11276,c1
630,-402,191,-11906,c1
4,224,817,-11910,c1
1,227,820,-11911,c1
1,227,820,-11912,c1
12,216,809,-11924,c1
4,224,817,-11928,c1
9,219,812,-11937,c1
3,225,818,-11940,c1
2,226,819,-11942,c1
1,227,820,-11943,c1
2,226,819,-11945,c1
2,226,819,-11947,c1
2,226,819,-11949,c1
2,226,819,-11951,c1
2,226,819,-11953,c1
2,226,819,-11955,c1
35,193,786,-11990,c1
1,227,820,-11991,c1
7,221,814,-11998,c1
11,217,810,-12009,c1
1,227,820,-12010,c1
2,226,819,-12012,c1
3,225,818,-12015,c1
1,227,820,-12016,c1
2,226,819,-12018,c1
4,224,817,-12022,c1
1,227,820,-12023,c1
95,133,726,-12118,c1
1,227,820,-12119,c1
324,-96,497,-12443,c1
7,221,814,-12450,c1
2,226,819,-12452,c1
1,227,820,-12453,c1
5,223,816,-12458,c1
1,227,820,-12459,c1
1,227,820,-12460,c1
1,227,820,-12461,c1
2,226,819,-12463,c1
5,223,816,-12468,c1
2,226,819,-12470,c1
3,225,818,-12473,c1
9,219,812,-12482,c1
2,226,819,-12484,c1
40,188,781,-12524,c1
7,221,814,-12531,c1
104,124,717,-12635,c1
4,224,817,-12639,c1
3,225,818,-12642,c1
3,225,818,-12645,c1
9,219,812,-12654,c1
5,223,816,-12659,c1
1,227,820,-12660,c1
10,218,811,-12670,c1
3,225,818,-12673,c1
1,227,820,-12674,c1
1,227,820,-12675,c1
1,227,820,-12676,c1
8,220,813,-12684,c1
2,226,819,-12686,c1
2,226,819,-12688,c1
0,228,821,-12688,c1
0,228,821,-12688,c1
3,225,818,-12691,c1
1,227,820,-12692,c1
2,226,819,-12694,c1
2,226,819,-12696,c1
1,227,820,-12697,c1
1,227,820,-12698,c1
5,223,816,-12703,c1
2,226,819,-12705,c1
3,225,818,-12708,c1
2,226,819,-12710,c1
15,213,806,-12725,c1
13,215,808,-12738,c1
5,223,816,-12743,c1
1,227,820,-12744,c1
23,205,798,-12767,c1
1,227,820,-12768,c1
2,226,819,-12770,c1
1,227,820,-12771,c1
4,224,817,-12775,c1
2,226,819,-12777,c1
1,227,820,-12778,c1
1,227,820,-12779,c1
4,224,817,-12783,c1
3,225,818,-12786,c1
1,227,820,-12787,c1
37,191,784,-12824,c1
15,213,806,-12839,c1
2,226,819,-12841,c1
1,227,820,-12842,c1
1,227,820,-12843,c1
2,226,819,-12845,c1
6,222,815,-12851,c1
1,227,820,-12852,c1
0,228,821,-12852,c1
1,227,820,-12853,c1
18,210,803,-12871,c1
3,225,818,-12874,c1
1,227,820,-12875,c1
20,208,801,-12895,c1
50,178,771,-12945,c1
2,226,819,-12947,c1
2,226,819,-12949,c1
283,-55,538,-13232,c1
5,223,816,-13237,c1
16,212,805,-13253,c1
1,227,820,-13254,c1
2,226,819,-13256,c1
18,210,803,-13274,c1
3,225,818,-13277,c1
6,222,815,-13283,c1
3,225,818,-13286,c1
1,227,820,-13287,c1
34,194,787,-13321,c1
1,227,820,-13322,c1
1,227,820,-13323,c1
1,227,820,-13324,c1
1,227,820,-13325,c1
2,226,819,-13327,c1
1,227,820,-13328,c1
39,189,782,-13367,c1
7,221,814,-13374,c1
297,-69,524,-13671,c1
10,218,811,-13681,c1
1,227,820,-13682,c1
2,226,819,-13684,c1
1,227,820,-13685,c1
0,228,821,-13685,c2
3,225,818,-13688,c1
1,227,820,-13689,c1
0,228,821,-13689,c1
4,224,817,-13693,c1
1,227,820,-13694,c1
1,227,820,-13695,c1
1,227,820,-13696,c1
4,224,817,-13700,c1
901,-673,-80,-14601,c1
5,223,816,-14606,c1
1,227,820,-14607,c1
2,226,819,-14609,c1
54,174,767,-14663,c1
1,227,820,-14664,c1
4,224,817,-14668,c1
1,227,820,-14669,c1
11,217,810,-14680,c1
2,226,819,-14682,c1
1,227,820,-14683,c1
1,227,820,-14684,c1
1,227,820,-14685,c1
11,217,810,-14696,c1
5,223,816,-14701,c1
1,227,820,-14702,c1
18,210,803,-14720,c1
1,227,820,-14721,c1
1,227,820,-14722,c1
49,179,772,-14771,c1
0,228,821,-14771,c1
2,226,819,-14773,c1
1,227,820,-14774,c1
4,224,817,-14778,c1
1,227,820,-14779,c1
34,194,787,-14813,c1
3,225,818,-14816,c1
5,223,816,-14821,c1
3,225,818,-14824,c2
1,227,820,-14825,c1
1,227,820,-14826,c1
3,225,818,-14829,c1
3,225,818,-14832,c1
1,227,820,-14833,c1
1,227,820,-14834,c1
7,221,814,-14841,c1
4,224,817,-14845,c1
3336,-3108,-2515,-18181,c1
7,221,814,-18188,c1
65,163,756,-18253,c1
2,226,819,-18255,c1
3,225,818,-18258,c1
1,227,820,-18259,c1
1,227,820,-18260,c1
1,227,820,-18261,c1
2,226,819,-18263,c1
1,227,820,-18264,c1
0,228,821,-18264,c1
2,226,819,-18266,c1
1,227,820,-18267,c1
41,187,780,-18308,c1
16,212,805,-18324,c1
4,224,817,-18328,c1
1,227,820,-18329,c1
1,227,820,-18330,c1
1,227,820,-18331,c1
0,228,821,-18331,c1
9,219,812,-18340,c1
2,226,819,-18342,c1
58,170,763,-18400,c1
