ConstituentID,DisplayName,ArtistBio,Nationality,Gender,BeginDate,EndDate,Count of Work
1,Robert Arneson,"American, 1930–1992",American,Male,1930,1992,2
2,Doroteo Arnaiz,"Spanish, born 1936",Spanish,Male,1936,0,1
3,Bill Arnold,"American, born 1941",American,Male,1941,0,26
4,Charles Arnoldi,"American, born 1946",American,Male,1946,0,1
5,Per Arnoldi,"Danish, born 1941",Danish,Male,1941,0,18
6,Danilo Aroldi,"Italian, born 1925",Italian,Male,1925,0,0
7,Bill Aron,"American, born 1941",American,Male,1941,0,1
9,David Aronson,"American, born Lithuania 1923",American,Male,1923,0,1
10,Irene Aronson,"American, born Germany 1918",American,Female,1918,0,1
11,Jean (Hans) Arp,"French, born Germany (Alsace). 1886–1966",French,Male,1886,1966,218
12,Jüri Arrak,"Estonian, born 1936",Estonian,Male,1936,0,1
13,J. Arrelano Fischer,"Mexican, 1911–1995",Mexican,Male,1911,1995,1
15,Folke Arstrom,"Swedish, 1907–1997",Swedish,Male,1907,1997,1
16,Cristobal Arteche,"Spanish, 1900–1964",Spanish,Male,1900,1964,1
18,Artko,,,,0,0,1
19,Richard Artschwager,"American, 1923–2013",American,Male,1923,2013,54
21,Ruth Asawa,"American, 1926–2013",American,Female,1926,2013,56
22,Isidora Aschheim,Israeli,Israeli,Female,0,0,1
23,Charles Robert Ashbee,"British, 1863–1942",British,Male,1863,1942,1
24,Donald Ashcraft,"American, born 1927",American,Male,1927,0,1
25,E. M. Ashe,"American, 1867–1941",American,Male,1867,1941,1
26,Göran Åslin,"Swedish, born 1940",Swedish,,1940,0,2
27,Erik Gunnar Asplund,"Swedish, 1885–1940",Swedish,Male,1885,1940,33
28,Geneviève Asse,"French, born 1923",French,Female,1923,0,50
30,Sergio Asti,"Italian, born 1926",Italian,Male,1926,0,7
31,Dana Atchley,"American, 1941–2000",American,Female,1941,2000,7
32,Atelier Eggers,French,French,,0,0,1
33,A.A.P.,American,American,,0,0,1
34,Alvar Aalto,"Finnish, 1898–1976",Finnish,Male,1898,1976,40
35,Aino Aalto,"Finnish, 1894–1949",Finnish,Female,1894,1949,1
36,Eero Aarnio,"Finnish, born 1932",Finnish,Male,1932,0,2
37,Jules Aarons,"American, 1921–2008",American,Male,1921,2008,2
38,Magdalena Abakanowicz,"Polish, 1930–2017",Polish,Female,1930,2017,6
39,James Abbe,"American, 1883–1973",American,Male,1883,1973,1
40,Jussuf Abbo,"Palestinian, 1888–1953",Palestinian,Male,1888,1953,2
41,Berenice Abbott,"American, 1898–1991",American,Female,1898,1991,78
42,Nobuya Abe,"Japanese, 1913–1971",Japanese,Male,1913,1971,2
43,Abe Shiro (pen Name: Suichiku),"Japanese, born 1900",Japanese,Male,1900,0,1
44,Robert Abel,"American, born 1937",American,Male,1937,0,0
46,Sigmund Abeles,"American, born 1934",American,Male,1934,0,1
47,Raimund Abraham,"American, born Austria. 1933–2010",American,Male,1933,2010,20
49,Ivor Abrahams,"British, born 1935",British,Male,1935,0,1
50,Gerald Abramovitz,"British, born South Africa. 1928–2011",British,Male,1928,2011,1
51,William Ross Abrams,"American, 1920–2007",American,Male,1920,2007,1
52,Rodolfo Abularach,"Guatemalan, born 1933",Guatemalan,Male,1933,0,42
53,Vito Acconci,"American, 1940–2017",American,Male,1940,2017,61
54,Milton Ackoff,"American, born 1915",American,Male,1915,0,2
55,Norman Ackroyd,British,British,Male,0,0,3
56,Luis Alberto Acuña,"Colombian, 1904–1994",Colombian,Male,1904,1994,1
57,Henri Georges Adam,"French, 1904–1967",French,Male,1904,1967,17
58,Antoine Samuel Adam-Salomon,"French, 1818–1881",French,Male,1818,1881,4
59,Valerio Adami,"Italian, born 1935",Italian,Male,1935,0,4
60,Ansel Adams,"American, 1902–1984",American,Male,1902,1984,288
61,Alice Adams,"American, born 1930",American,Female,1930,0,2
62,Clinton Adams,"American, 1918–2002",American,Male,1918,2002,62
63,Dacres Adams,"British, 1864–1951",British,Male,1864,1951,1
